m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,obs_date,rating_cnt_strong_buys,rating_cnt_mod_buys,rating_cnt_holds,rating_cnt_mod_sells,rating_cnt_strong_sells,rating_mean_recom,rating_cnt_with,rating_cnt_without
MCD,MCD,McDonald's,,NYSE,USD,2018-02-06,20,1,5,0,0,1.4,26,0
MCD,MCD,McDonald's,,NYSE,USD,2018-01-08,20,1,4,0,0,1.4,25,0
KO,KO,Coca-Cola,,NYSE,USD,2018-12-13,6,0,7,0,0,2.1,13,0
KO,KO,Coca-Cola,,NYSE,USD,2018-11-01,6,0,6,0,0,2.0,12,0
KO,KO,Coca-Cola,,NYSE,USD,2018-10-31,6,0,5,0,0,1.9,11,0
KO,KO,Coca-Cola,,NYSE,USD,2018-09-17,6,0,6,0,0,2.0,12,0
KO,KO,Coca-Cola,,NYSE,USD,2018-09-14,6,0,7,0,0,2.1,13,0
KO,KO,Coca-Cola,,NYSE,USD,2018-07-30,5,0,7,0,0,2.2,12,0
KO,KO,Coca-Cola,,NYSE,USD,2018-07-26,6,0,7,0,0,2.1,13,0
KO,KO,Coca-Cola,,NYSE,USD,2018-07-18,6,0,6,0,0,2.0,12,0
KO,KO,Coca-Cola,,NYSE,USD,2018-07-16,6,0,7,0,0,2.1,13,0
KO,KO,Coca-Cola,,NYSE,USD,2018-06-08,6,0,8,0,0,2.1,14,0
KO,KO,Coca-Cola,,NYSE,USD,2018-05-17,6,0,9,0,0,2.2,15,0
KO,KO,Coca-Cola,,NYSE,USD,2018-01-10,5,0,9,0,0,2.3,14,0
JNJ,JNJ,Johnson & Johnson,,NYSE,USD,2018-10-19,4,2,6,0,0,2.2,12,0
JNJ,JNJ,Johnson & Johnson,,NYSE,USD,2018-09-14,6,2,7,0,0,2.1,15,0
JNJ,JNJ,Johnson & Johnson,,NYSE,USD,2018-07-23,7,2,7,0,0,2.0,16,0
JNJ,JNJ,Johnson & Johnson,,NYSE,USD,2018-06-27,7,2,7,0,2,2.3,18,0
JNJ,JNJ,Johnson & Johnson,,NYSE,USD,2018-06-11,7,2,6,0,2,2.3,17,0
JNJ,JNJ,Johnson & Johnson,,NYSE,USD,2018-04-23,8,2,6,0,2,2.2,18,0
JNJ,JNJ,Johnson & Johnson,,NYSE,USD,2018-04-20,8,2,5,0,2,2.2,17,0
JNJ,JNJ,Johnson & Johnson,,NYSE,USD,2018-02-27,8,2,6,0,2,2.2,18,0
JNJ,JNJ,Johnson & Johnson,,NYSE,USD,2018-02-07,9,2,5,0,2,2.1,18,0
JNJ,JNJ,Johnson & Johnson,,NYSE,USD,2018-01-02,9,2,6,0,2,2.2,19,0
J,XOM,Exxon Mobil,,NYSE,USD,2018-12-19,3,1,7,0,2,2.8,13,0
J,XOM,Exxon Mobil,,NYSE,USD,2018-11-20,2,1,7,0,2,2.9,12,0
J,XOM,Exxon Mobil,,NYSE,USD,2018-10-22,2,1,8,0,1,2.8,12,0
J,XOM,Exxon Mobil,,NYSE,USD,2018-09-11,2,1,7,0,1,2.7,11,0
J,XOM,Exxon Mobil,,NYSE,USD,2018-09-07,2,1,6,0,1,2.7,10,0
J,XOM,Exxon Mobil,,NYSE,USD,2018-07-26,2,1,7,0,1,2.7,11,0
J,XOM,Exxon Mobil,,NYSE,USD,2018-07-25,1,1,7,0,1,2.9,10,0
J,XOM,Exxon Mobil,,NYSE,USD,2018-07-23,2,1,7,0,1,2.7,11,0
J,XOM,Exxon Mobil,,NYSE,USD,2018-06-08,2,1,8,0,1,2.8,12,0
J,XOM,Exxon Mobil,,NYSE,USD,2018-06-06,2,1,7,0,1,2.7,11,0
J,XOM,Exxon Mobil,,NYSE,USD,2018-06-01,3,1,7,0,1,2.6,12,0
J,XOM,Exxon Mobil,,NYSE,USD,2018-05-30,3,1,8,0,1,2.6,13,0
J,XOM,Exxon Mobil,,NYSE,USD,2018-05-21,3,0,9,0,1,2.7,13,0
J,XOM,Exxon Mobil,,NYSE,USD,2018-04-23,3,0,10,0,1,2.7,14,0
J,XOM,Exxon Mobil,,NYSE,USD,2018-04-04,3,0,9,0,2,2.9,14,0
J,XOM,Exxon Mobil,,NYSE,USD,2018-02-06,3,1,9,0,2,2.8,15,0
J,XOM,Exxon Mobil,,NYSE,USD,2018-01-31,4,1,9,0,1,2.5,15,0
ITL,INTC,Intel,,NASDAQ,USD,2018-12-27,11,2,11,1,4,2.5,29,0
ITL,INTC,Intel,,NASDAQ,USD,2018-12-21,12,2,11,1,4,2.4,30,0
ITL,INTC,Intel,,NASDAQ,USD,2018-12-20,12,2,10,1,4,2.4,29,0
ITL,INTC,Intel,,NASDAQ,USD,2018-12-17,12,2,11,1,4,2.4,30,0
ITL,INTC,Intel,,NASDAQ,USD,2018-12-04,11,2,11,1,4,2.5,29,0
ITL,INTC,Intel,,NASDAQ,USD,2018-10-29,11,2,12,1,3,2.4,29,0
ITL,INTC,Intel,,NASDAQ,USD,2018-10-26,12,2,13,1,3,2.4,31,0
ITL,INTC,Intel,,NASDAQ,USD,2018-10-22,11,1,13,1,3,2.4,29,0
ITL,INTC,Intel,,NASDAQ,USD,2018-10-01,10,1,14,1,3,2.5,29,0
ITL,INTC,Intel,,NASDAQ,USD,2018-09-25,10,1,14,1,2,2.4,28,0
ITL,INTC,Intel,,NASDAQ,USD,2018-09-24,10,1,15,1,1,2.4,28,0
ITL,INTC,Intel,,NASDAQ,USD,2018-09-13,10,1,14,1,1,2.3,27,0
ITL,INTC,Intel,,NASDAQ,USD,2018-09-03,10,1,13,1,2,2.4,27,0
ITL,INTC,Intel,,NASDAQ,USD,2018-08-20,10,2,13,1,2,2.4,28,0
ITL,INTC,Intel,,NASDAQ,USD,2018-08-06,11,2,13,1,2,2.3,29,0
ITL,INTC,Intel,,NASDAQ,USD,2018-07-27,12,2,12,1,2,2.3,29,0
ITL,INTC,Intel,,NASDAQ,USD,2018-07-16,14,2,10,1,2,2.1,29,0
ITL,INTC,Intel,,NASDAQ,USD,2018-07-11,14,2,10,0,2,2.1,28,0
ITL,INTC,Intel,,NASDAQ,USD,2018-06-26,14,2,10,1,2,2.1,29,0
ITL,INTC,Intel,,NASDAQ,USD,2018-06-25,14,2,10,1,1,2.0,28,0
ITL,INTC,Intel,,NASDAQ,USD,2018-06-20,15,2,9,1,1,2.0,28,0
ITL,INTC,Intel,,NASDAQ,USD,2018-06-19,14,2,9,1,1,2.0,27,0
ITL,INTC,Intel,,NASDAQ,USD,2018-06-18,15,2,9,1,1,2.0,28,0
ITL,INTC,Intel,,NASDAQ,USD,2018-05-17,15,2,10,1,0,1.9,28,0
ITL,INTC,Intel,,NASDAQ,USD,2018-04-30,15,2,9,1,0,1.9,27,0
ITL,INTC,Intel,,NASDAQ,USD,2018-04-27,15,3,9,1,0,1.9,28,0
ITL,INTC,Intel,,NASDAQ,USD,2018-04-05,15,3,8,1,0,1.8,27,0
ITL,INTC,Intel,,NASDAQ,USD,2018-04-04,14,2,8,1,0,1.8,25,0
ITL,INTC,Intel,,NASDAQ,USD,2018-03-26,15,2,7,1,0,1.8,25,0
ITL,INTC,Intel,,NASDAQ,USD,2018-03-16,15,2,6,1,1,1.8,25,0
ITL,INTC,Intel,,NASDAQ,USD,2018-03-15,15,2,5,1,1,1.8,24,0
ITL,INTC,Intel,,NASDAQ,USD,2018-03-02,15,2,6,1,1,1.8,25,0
ITL,INTC,Intel,,NASDAQ,USD,2018-01-30,15,2,6,1,2,2.0,26,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-10-29,4,1,7,0,1,2.5,13,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-10-19,6,1,8,0,1,2.3,16,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-10-18,6,1,9,0,1,2.4,17,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-10-15,6,1,8,0,1,2.3,16,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-10-04,6,1,9,0,1,2.4,17,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-09-26,6,1,9,0,0,2.2,16,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-08-17,5,1,10,0,0,2.3,16,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-07-30,5,1,11,0,0,2.4,17,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-07-17,5,1,10,0,0,2.3,16,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-07-16,6,1,10,0,0,2.2,17,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-07-02,6,1,9,0,0,2.2,16,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-06-28,6,1,10,0,0,2.2,17,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-04-20,5,1,10,0,0,2.3,16,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-04-17,5,1,11,0,1,2.5,18,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-03-23,4,2,11,0,1,2.6,18,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-01-31,5,2,11,0,1,2.5,19,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-01-17,5,2,11,0,2,2.6,20,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-01-05,4,2,11,0,3,2.8,20,0
IBM,IBM,International Business Machines,,NYSE,USD,2018-01-03,5,2,11,0,3,2.7,21,0
HOMD,HD,Home Depot,,NYSE,USD,2018-12-14,13,2,6,0,0,1.6,21,0
HOMD,HD,Home Depot,,NYSE,USD,2018-12-05,14,2,6,0,0,1.6,22,0
HOMD,HD,Home Depot,,NYSE,USD,2018-11-29,15,2,6,0,0,1.6,23,0
HOMD,HD,Home Depot,,NYSE,USD,2018-11-16,16,2,6,0,0,1.6,24,0
HOMD,HD,Home Depot,,NYSE,USD,2018-11-13,18,3,5,0,0,1.5,26,0
HOMD,HD,Home Depot,,NYSE,USD,2018-11-07,18,3,4,0,0,1.4,25,0
HOMD,HD,Home Depot,,NYSE,USD,2018-08-17,18,3,5,0,0,1.5,26,0
HOMD,HD,Home Depot,,NYSE,USD,2018-08-14,19,3,5,0,0,1.5,27,0
HOMD,HD,Home Depot,,NYSE,USD,2018-08-03,18,3,5,0,0,1.5,26,0
HOMD,HD,Home Depot,,NYSE,USD,2018-04-23,19,3,5,0,0,1.5,27,0
HOMD,HD,Home Depot,,NYSE,USD,2018-04-11,18,3,5,0,0,1.5,26,0
HOMD,HD,Home Depot,,NYSE,USD,2018-03-02,17,3,5,0,0,1.5,25,0
HOMD,HD,Home Depot,,NYSE,USD,2018-02-22,17,3,4,0,0,1.4,24,0
HOMD,HD,Home Depot,,NYSE,USD,2018-02-07,16,3,4,0,0,1.5,23,0
